pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	st_metfe
1	5.7361	0.0614	0.09		0.05	
1	6.68796	0.0617				
1	5.35227	0.0618	0.33	85.01	0.535	0.19
1	4.954658	0.0618	0	89.6	0.96	
1	6.53044	0.0619				
5	6.195469	0.062				0.238
2	6.04045	0.062				0.106
3	6.252972	0.062				-0.109
2	5.715442	0.062				0.241
2	5.9123	0.062			1.51	0.34
1	5.924262	0.062	0	88.9	0.117	0.2
1	5.084298	0.06206	0	88.1	0.95	0.22
1	5.35117	0.0621	0	86.2	0.02706	-0.53
1	4.736529	0.06229	0	85.8	0.195	0.18
1	8.36802	0.0627				-0.37
1	5.748145	0.0628	0.096	87.7	1	0.15
1	6.21229	0.063	0	88.4	0.22	0.3
3	5.714606	0.063				0.212
3	6.475434	0.063				0.051
4	5.902206	0.063				-0.014
2	5.77152	0.0634	0.172		0.02026	0.19
1	5.24	0.0635	0.01		0.28	0.25
2	6.67202	0.0636				
6	6.09852281	0.0639		87.632		0.07
5	5.766193	0.064				-0.202
2	6.40013	0.064				-0.01
2	5.687945	0.064				0.026
3	5.826662	0.064				-0.191
4	5.839172	0.064				0.061
2	6.186676	0.064				-0.063
2	5.960392	0.064				0.157
6	5.75969	0.06412	0.073		0.0416	0.08
1	4.954	0.06431	0	88	0.56	-0.08
5	7.05246	0.0648		89.34	0.0218	0.04
3	5.374943	0.065				
4	7.824904	0.065				0.087
2	8.295611	0.065				0.119
3	6.097326	0.065				-0.219
2	5.700786	0.065				0.07
3	8.457496	0.065				-0.85
2	5.929778	0.065				-0.091
2	8.410894	0.065				-0.194
2	6.738088	0.065				-0.539
1	4.8101025	0.06505	0	88.8	0.34	-0.08
1	5.65688	0.0651				
6	6.76458	0.0653	0.062	87.28	0.01372	0.11
1	10.13389	0.0653		88.77	0.03458	0.11
3	6.42904	0.0654		87.37		-0.03
1	6.404	0.0659	0.107		0.248	0.078
1	7.78287	0.066	0.22		6.37	0.3
1	8.7836	0.066	0		0.026	0.15
2	5.4122	0.066	0.47	85.94		-0.19
2	5.885273	0.066				-0.326
2	5.996553	0.066				0.1
2	6.308205	0.066				0.171
3	6.581484	0.066				0.315
3	6.766888	0.066				0.133
2	7.415563	0.066				-0.266
2	5.629021	0.066				
1	5.215357	0.0661		84.7	1.51	-0.18
2	6.4215	0.0665				
1	8.7076	0.06661	0.08		0.01686	-0.08
1	5.723186	0.0667	0.095	87.1	0.778	0.21
2	7.6188	0.0667		87.97		-0.33
4	6.178196	0.067				-0.053
2	6.00253	0.067				0.045
2	7.010606	0.067				0.538
4	7.240193	0.067				0.155
3	6.766589	0.067				0.41
1	7.133521	0.067	0	89.6	0.41	0.22
1	6.771315	0.06702	0.251		0.09722	0.13
1	5.031623	0.06708	0	84.47	0.95	0.19
1	9.7843	0.0671				
1	5.452654	0.0677	0.441	87.1	3.328	
5	5.66793	0.0677	0	86.39		0.025
1	5.33408384	0.0679	0.119	89.21	2.82	-0.01
4	6.414914	0.068				-0.053
2	7.06424	0.068				-0.093
4	6.388996	0.068				0.012
3	5.868075	0.068				-0.023
5	7.055679	0.068				0.077
2	6.791636	0.068				-0.233
4	6.124821	0.068				-0.22
3	5.859944	0.068				0.17
2	6.02976	0.0684	0	84.6	0.01	0.33
4	7.406114	0.0684	0	89.3		-0.03
1	5.6334729	0.06878	0.5171	86.72	9.09	0.14
2	5.968734	0.069				-0.064
2	6.919798	0.069				-0.301
5	6.155557	0.069				0.143
3	7.156804	0.069				0.063
4	6.846262	0.069				-0.311
3	6.941357	0.069				0.487
3	6.988055	0.069				-0.237
3	6.673855	0.0692	0.1427		3.88	0.26
3	7.05254	0.0692				
5	7.743493	0.0696	0.1	89.13		-0.55
1	7.919585	0.0697	0.1	89.27	0.863	-0.15
1	5.8881	0.07	0.09		0.367	0.28
1	6.1335	0.07	0.309		2.13	0.1
3	8.1352	0.07	0.187		0.0365	
2	7.972513	0.07				-0.748
4	6.885875	0.07				-0.052
3	7.626324	0.07				0.05
1	6.27711	0.0704	0.1249		1.86	0.324
1	8.7529	0.0705				
1	8.05428	0.0708				
1	6.71837	0.071		89	0.15	0
2	8.103636	0.071				-0.077
4	7.49019	0.071				-0.028
2	6.61833	0.071				0.106
3	7.410935	0.071				-0.951
2	6.6264	0.071				-0.001
2	6.511127	0.071				-0.031
2	9.99767	0.07131				
1	11.4433	0.0717	0		0.017	-0.32
1	5.75251	0.0717	0	88.8	2.78	0.21
3	6.803	0.0719				0.07
2	8.180848	0.072				-0.28
3	7.650254	0.072				-0.286
3	12.914	0.0721	0		0.0173	-0.25
4	15.1871	0.0722				
2	7.518496	0.073				0.18
5	7.381998	0.073				-0.136
2	8.014927	0.073				-0.478
2	9.32414	0.0731		88.3		-0.11
1	6.24658	0.0731		69.68	0.81	0.11
1	8.428198	0.074	0.277		14.4	0.01
3	7.9194	0.074		89.47		0.1
7	7.008151	0.074		89.4		-0.12
2	8.005777	0.074				-0.786
2	10.065275	0.074				-0.011
2	7.953528	0.074				0.089
1	9.0063	0.0746				
2	7.126816	0.0748	0.1267		1.39	0.37
5	8.348125	0.075				0.238
3	7.1073	0.075			0.8	-0.09
2	8.20395	0.075				0.103
2	8.187399	0.075				-0.034
2	8.25978	0.075				-0.097
2	6.562331	0.075				-0.106
2	7.186434	0.075				-0.12
3	6.849692	0.075				-0.137
1	7.87288	0.075	0	89.7	1.8	0.28
3	7.64159	0.0752	0	87.68	0.054	0.19
1	6.871815	0.07522	0.0314	88.69	2.691	
2	8.408878	0.076				-0.588
4	9.034199	0.076				
3	8.109044	0.076				-0.145
2	7.05677	0.076				-0.039
3	7.031462	0.076				-0.145
1	7.49543	0.07619				
3	10.05449	0.0769		88.8		-0.32
1	7.79430132	0.0769	0.123	86.55	1.37	0.07
1	6.838	0.077	0.3		0.94	0.11
1	8.77683	0.077				
2	8.436387	0.077				-0.12
2	8.307872	0.077				-0.052
2	8.472382	0.077				-0.067
2	7.21205	0.077				0.075
2	9.387427	0.077				-0.266
2	7.81254	0.077				0.03
1	8.5234865	0.0771	0	88.368	0.694	0
3	8.509	0.07757	0.36		0.02171	0.04
1	10.00329	0.0777				-0.12
2	7.810937	0.078				-0.016
3	7.781987	0.078				-0.149
2	7.630004	0.078				-0.144
5	13.342996	0.0781				-0.26
1	7.340711	0.0781	0	87.46	0.63	0.42
1	14.628	0.078361	0.13		0.00887	-0.38
3	8.667	0.0785	0.1		0.0321	-0.05
2	7.8543	0.079	0.25		0.054	0.1
3	8.457458	0.079				0.02
4	7.466623	0.079				
2	7.693641	0.079				-0.183
2	8.115317	0.079				-0.165
5	10.864384	0.079	0.33			-0.08
3	7.542427	0.079				0.299
5	9.52355	0.0792		89.33	0.02121	0.04
1	9.4909	0.0796	0.063	89.45	0.02473	-0.3
5	9.6184	0.0799	0.06		0.0208	-0.31
3	9.3743	0.08	0.396		0.024	0.33
2	7.8455821	0.08	0.029	88.81	0.442	-0.27
2	7.930592	0.08				0.234
2	8.594805	0.08				-0.118
4	8.1453	0.08			1.6	-0.24
2	10.848463	0.08				-0.67
3	10.475464	0.08				-0.121
4	9.653471	0.08				0.523
4	8.01041	0.08				-0.139
1	6.87349	0.08	0	89.7	2.2	0.1
1	9.4341505	0.08	0.45	87.806	0.378	0.05
2	8.158715	0.0801	0.31	88.55	2.244	
1	8.28212	0.0802				0.03
3	8.99213	0.08036	0		0.05191	-0.02
1	9.6737	0.0809	0		0.041	
1	6.495	0.081	0.048		0.96	0.19
1	8.266902	0.081		88.95	0.09439	0.26
2	7.8142	0.081				
2	8.127899	0.081				0.02
2	8.9858	0.081			1.36	0.34
5	10.198545	0.081				-0.201
5	9.740486	0.0811	0.29	87.96		-0.55
1	3.7650007	0.0815	0	86	4.4	-0.07
2	10.93241	0.0818		86.95		-0.33
1	8.8849116	0.0818	0.57	89.12	10.1	0.3
4	7.958203	0.082				-0.092
2	10.139623	0.082				-0.911
4	9.220524	0.082				-0.374
2	11.008151	0.082				-0.26
2	7.416755	0.082				0.02
1	7.8914483	0.082			0.43	0.23
4	13.2543	0.08208	0.21		0.01032	0.02
2	8.129976	0.083				-0.16
2	8.77501	0.083				0.258
2	8.005013	0.083				-0.129
4	9.360672	0.084				-0.618
3	9.439452	0.084				0.169
3	8.13123	0.084				0.17
3	8.703	0.0847				0.07
3	9.576694	0.085				-0.188
2	8.371554	0.085				-0.244
2	10.05537	0.085				-0.175
1	8.886593	0.0855	0.1	89.07	2.96	-0.2
2	10.35239	0.0856		86.42		-0.02
2	8.486616	0.086				-0.137
2	8.990889	0.087				-0.081
3	9.939632	0.087				0.006
4	10.04156	0.087				-0.413
3	9.767292	0.087				-0.191
2	9.176092	0.087				-0.057
2	12.551158	0.087				-0.472
2	10.327186	0.087				-0.718
3	11.419412	0.087				-0.046
2	9.024389	0.087				0.009
4	8.921099	0.087				-0.22
2	9.37647	0.087				0.03
1	24.73712	0.0875	0.29	89.912	0.02092	-0.24
1	9.72739	0.0876				
2	12.794585	0.088				-0.449
2	10.399931	0.088				-0.134
2	10.381227	0.088				0.14
2	8.96855	0.088				-0.138
4	9.095	0.088	0.006	89.22	0.05286	0.36
2	10.338523	0.0882	0.342	89.2	0.534	0
2	9.55385	0.08887	0.31	87.62		-0.278
1	14.207	0.089	0.31		0.0208	-0.09
2	13.74	0.089	0.049		0.0197	-0.16
7	8.719375	0.089		89.68		-0.12
3	8.586004	0.089				
4	11.349393	0.089				-0.309
3	10.281951	0.089				0.052
3	17.8719	0.089	0.11		0.01073	-0.09
1	9.20205	0.09	0	90	0.72	
3	9.926746	0.09				-0.153
4	10.349695	0.09				-0.533
2	10.222157	0.09				-0.118
2	9.488015	0.09				0.136
2	9.694928	0.09				-0.112
5	8.7522	0.09			0.5	0
3	13.969457	0.09				-0.042
1	9.24285	0.0902	0.562	88.21	4.24	0.14
2	11.2954	0.0905				
1	9.1205	0.0906	0.205	88.43	0.037	-0.16
4	9.6386	0.09094	0.172		0.03321	0.263
1	11.8104	0.091				-0.46
1	18.4498	0.091		87.983		-0.25
6	10.3039	0.091	0.045	89.64	0.006	-0.041
3	10.08881	0.091				0.15
3	10.937304	0.091				-0.161
3	10.558345	0.091				-0.237
2	9.182417	0.091				-0.217
1	10.290994	0.091	0.57	89.5	0.29	-0.19
3	9.751962	0.091				
2	18.6498	0.091101	0.1		0.00909	0.09
1	9.289715	0.0917	0	89.49	1.925	-0.09
1	9.75598	0.092	0.077	89.749	0.038	0.17
2	10.105785	0.092				
3	10.687576	0.092				-0.338
3	9.946047	0.092				0.212
3	9.600001	0.092				-0.401
1	10.70871	0.0925	0.029		1.15	
2	13.7311	0.0926				
5	12.4417	0.0929		89.7	0.013	-0.37
2	9.693201	0.093				-0.131
2	13.297004	0.093				-0.329
2	10.423118	0.093				-0.297
1	11.39109	0.09309	0	89.53	1.85	0.41
3	11.427548	0.094				-0.777
2	10.104665	0.094				-0.326
2	12.718092	0.094				-0.243
2	10.446347	0.094				-0.238
2	14.871572	0.094				0.207
2	13.722341	0.094	0.16	89.62		-0.29
1	10.13675	0.0943	0	89	0.10131	-0.2
1	10.02165	0.09459	0.302	89.14	0.2755	-0.11
1	8.6001536	0.0948	0.114	85.51	0.84	-0.18
6	10.85409089	0.0949	0.16	89.815	0.04012	0.07
2	11.763051	0.095				-0.016
2	11.187161	0.095				0.143
2	12.904532	0.095				-0.157
2	10.613839	0.095				-0.131
2	10.57375339	0.0954	0	87.09	0.02152	0.27
2	9.825792	0.096				0.077
4	10.681572	0.096				0.061
2	12.31043	0.096				-0.225
1	14.5665	0.0962		88.4		-0.13
1	10.863502	0.0964	0.19	89.1	1.946	0.22
2	10.56103	0.0964		88.61	0.03115	0.28
1	10.79	0.0968			1.66	
3	10.945723	0.097				-0.125
3	15.368459	0.097				0.221
5	11.97901	0.097				0.077
2	12.162701	0.097				-0.314
2	10.043686	0.097				-0.034
3	11.90715	0.0971		87.99		0.1
1	12.2054	0.0975				
2	11.759	0.098	0	89	0.088	0.3
4	24.1669	0.098				
3	11.463462	0.098				-0.151
3	10.300682	0.098				0.184
2	10.664903	0.098				-0.046
2	11.837549	0.098				-0.233
1	10.99573	0.0987				
3	10.495711	0.099				
2	10.640263	0.099				-0.345
3	10.7421	0.099			2.7	-0.09
3	12.645164	0.099				-0.332
3	13.821375	0.1				-0.535
3	13.98179	0.1				-0.556
3	11.32972	0.1				-0.107
3	11.094286	0.101				-0.067
2	11.379349	0.101				0.083
2	11.634788	0.101				-0.188
2	12.125934	0.101				-0.197
2	13.060022	0.101				-0.539
1	11.55098	0.1012	0	88.66	1.23	0.26
4	10.423648	0.1013	0.43	88.36	0.049	0.023
1	12.6475	0.1014				
1	10.8985	0.102	0.53		0.261	0.2
4	12.759712	0.102				0.072
2	11.03189	0.102				-0.051
4	11.242861	0.102				-0.22
2	11.829851	0.102				-0.009
1	13.86375	0.1021	0.079	89.35	0.05254	-0.34
2	15.5012	0.1026		89.08		-0.11
3	10.5016	0.1028			0.07	0.2
2	11.448708	0.103				0.045
2	11.637071	0.103				0.026
4	11.131786	0.103				
2	13.19722	0.103				0.415
3	14.425281	0.103				-0.827
5	12.56093	0.104				-0.136
2	12.699149	0.104				-0.145
3	11.189562	0.104				-0.308
3	11.922	0.1045				0.07
5	13.767102	0.105				0.238
2	11.903515	0.105				-0.023
3	12.412183	0.105				-0.191
2	11.815007	0.105				0.145
3	12.762172	0.105				-0.171
3	17.28111	0.105				-0.85
2	12.247629	0.105				-0.091
1	13.2406	0.1055	0.53	88.55	2.75	0.26
2	11.5789	0.106				
2	11.38848	0.106				-0.011
4	12.3335	0.106			1.6	-0.24
4	13.638723	0.106				-0.374
6	13.0241	0.107	0.026	89.59	0.009	-0.041
2	12.691112	0.107				-0.151
2	11.476094	0.107				-0.151
3	12.758005	0.107				-0.074
3	11.932125	0.107				0.299
5	12.465988	0.108				-0.202
2	13.060855	0.108				-0.115
2	13.699087	0.109				-0.361
2	13.817124	0.109				-0.194
2	14.496481	0.109				0.103
2	12.509529	0.109				-0.497
2	12.62	0.11	0.02		1.13	0.05
3	13.5405	0.11				-0.108
2	15.31299	0.11				-0.28
5	22.407704	0.11				-0.26
2	14.589347	0.11				-0.061
2	13.093921	0.11				
2	12.79836	0.11				-0.068
2	12.51616	0.11				-0.081
2	14.51143	0.11				-0.191
2	12.130686	0.11				-0.129
3	14.09189	0.1103		88.34		-0.03
2	16.709184	0.111				-0.232
3	13.137471	0.111				-0.149
2	18.794234	0.111				-0.185
3	13.930698	0.111				-0.299
1	13.97896	0.1112				
2	13.5052	0.1117	0.305		0.01759	0.19
3	12.309681	0.112				-0.57
3	13.751243	0.112				-0.178
2	16.092361	0.112				0.553
1	15.76491	0.113	0.0416		3.91	-0.268
2	12.610584	0.113				0.078
2	16.282493	0.113				0.012
4	14.667108	0.113				-0.618
2	18.684737	0.113				-0.572
3	15.299	0.1134	0.098		0.02473	-0.15
2	19.271566	0.114				-0.011
3	15.995622	0.114				0.05
1	12.8747099	0.1143	0.131	86.46	2.86	0.25
2	16.1966	0.1148				
1	15.56	0.115	0		0.0442	-0.31
5	13.233549	0.115				0.143
3	16.934402	0.115				-0.036
2	13.121632	0.115				-0.325
2	14.172327	0.115				-0.151
5	14.65152	0.115227	0.0034	90	0.8306	0.31
2	13.83989	0.1153	0.039	90.01	0.014	-0.2
2	13.07163	0.116				-0.064
2	15.228958	0.116				-0.102
2	13.193242	0.116				-0.012
2	15.955387	0.116				-0.097
4	18.596108	0.116				-0.151
1	13.481	0.117	0.05		12.4	-0.17
2	15.906801	0.117				-0.014
2	14.400974	0.117				-0.213
3	16.068638	0.117				-0.109
2	14.646008	0.117				0.012
4	13.726976	0.117				-0.106
2	13.391635	0.117				
4	13.4845	0.117	0.015	88.78	0.0343	-0.073
1	15.7259	0.1171				-0.2
3	14.85888	0.1172	0	88.07	0.052	0.19
4	14.627119	0.118				0.012
2	15.3348	0.118			9.11	0.41
5	19.850291	0.118	0.33			-0.08
4	15.054786	0.118				-0.052
2	16.332995	0.118				-0.175
2	14.751166	0.118				-0.009
5	13.17562	0.1189	0	88.19		0.025
1	17.96753	0.119				0.15
4	15.677563	0.119				-0.533
3	14.12841	0.119				0.012
2	16.568087	0.12				-0.11
4	17.326644	0.12				0.155
3	16.85837	0.12				0.051
5	18.16406	0.12		89.7	0.044	-0.37
4	18.315	0.1207	0	90	0.0085	-0.4
3	16.738661	0.121				-0.071
1	14.476	0.1216	0.115		0.0866	0.25
2	20.306546	0.122				-0.149
2	16.087845	0.122				0.008
4	20.060548	0.122				0.087
4	16.514043	0.122				-0.156
3	14.383035	0.122				-0.297
1	17.833648	0.1226	0.17	87.72		0.01
2	19.07863	0.1229		87.83		-0.33
1	17.054	0.123	0.07		0.079	0.3
4	14.749049	0.123				-0.092
2	16.239494	0.123				0.171
2	15.38231	0.123				-0.112
2	18.207973	0.124				-0.138
4	18.643577	0.124				-0.309
3	15.274299	0.124				-0.09
4	17.460812	0.124				-0.028
2	14.613612	0.124				-0.217
5	28.14	0.125	0.02		0.012	-0.55
3	18.02	0.125	0.047		0.665	0.3
3	14.435889	0.125				-0.154
2	14.970418	0.125				-0.112
3	25.63058	0.1254	0.099		0.0214	0.1
2	16.725948	0.126				-0.272
3	20.995694	0.126				-0.036
2	40.54	0.1264	0.17		0.00727	-0.27
2	15.771044	0.127				0.154
2	16.007583	0.127				-0.167
3	17.648312	0.127				0.063
4	17.028937	0.127				-0.311
2	15.163161	0.127				-0.034
3	17.738506	0.128				0.006
4	15.170318	0.128				-0.053
3	20.837846	0.128				-0.524
2	16.23855	0.1283	0.033	89.98	0.025	-0.2
6	16.357	0.12859	0.131		0.0378	0.08
2	18.870227	0.129				-0.255
4	30.0881	0.12959	0.25591	59	0.7142	0.05
2	18.735753	0.13				-0.12
2	15.660544	0.13				-0.359
4	18.369917	0.13				-0.413
3	18.119869	0.13				0.052
5	22.7802	0.13				0
4	17.91323	0.13				-0.031
2	17.111	0.1304	0.237		0.06	0.25
1	16.254611	0.1308	0.029	89.08	1.338	0.3
2	14.3098	0.131	0.257		0.839	0.51
2	15.79186	0.131				
2	16.665863	0.131				0.234
3	17.308032	0.131				-0.298
3	17.790037	0.131				-0.14
4	16.259458	0.132				
2	23.968127	0.132				0.119
3	16.088134	0.132				0.184
5	20.432	0.1321	0.07		0.0299	-0.31
2	16.399235	0.133				
2	16.257582	0.133				
4	20	0.133	0.06		0.00551	
2	14.844387	0.134				-0.094
2	17.340824	0.134				0.009
1	20.5065	0.1344				
2	18.157	0.1344	0.18		0.259	0.39
2	19.0918	0.135				
2	17.232366	0.135				-0.199
2	24.08821	0.135				-0.472
1	17.815815	0.1352				-0.2
2	20.6921	0.1354				
4	18.010199	0.136				-0.053
2	17.406669	0.136				-0.183
3	22.92881	0.136				-0.121
1	20.273034	0.1367	0.137	88.82	0.84	-0.22
2	19.446355	0.137				-0.301
2	20.134866	0.137				-0.134
2	17.784129	0.137				-0.046
2	20.739886	0.138				0.071
4	18.998355	0.138				-0.24
2	17.265427	0.138				-0.039
1	19.1541	0.13821				
1	18.20132	0.1388	0.0138		3.69	0.068
2	20.729042	0.139				-0.051
3	18.746477	0.139				-0.191
6	19.57758478	0.1396		88.788		0.07
3	24.64354	0.1399		89.12		-0.32
3	20.6602	0.1399	0		0.03807	-0.02
1	17.24	0.14	0.2		0.0696	0.06
3	20.050401	0.14				-0.191
3	20.477912	0.14				0.169
3	19.305772	0.14				-0.219
2	19.02293	0.14				-0.124
3	19.24	0.14	0.15		0.252	0.12
1	19.5666	0.1402				
4	21.803855	0.1405	0.12	89.352		-0.03
2	20.17202	0.141				0.18
3	20.303005	0.141				-0.338
5	20.834237	0.141				0.077
2	19.986326	0.141				-0.197
3	20.552802	0.142				-0.188
2	20.026218	0.142				0.241
3	21.526258	0.142				-0.332
2	17.934937	0.142				-0.244
2	18.311	0.1429				
4	30.5987	0.14339	0.06		0.07406	0.02
2	19.254196	0.144				0.134
2	22.250949	0.144				-0.035
2	18.7959228	0.1445	0.0493	88.74	0.094	-0.04
1	18.179	0.145	0.48		0.33	0.366
2	20.342199	0.145				-0.077
2	19.738286	0.145				-0.057
3	24.209842	0.146				-0.036
6	22.717	0.1463	0.148		0.02297	0.11
1	22.017	0.148	0.146		0.44	-0.48
2	22.597053	0.148				-0.567
1	32.94488	0.1491				0.09
3	21.2234	0.15				-0.153
2	21.058	0.1503	0.18	88.48		-0.278
1	17.8552333	0.151	0.72	88.95	10	0.09
3	22.8827	0.1517				
2	21.347262	0.152				-0.016
2	21.853722	0.152				-0.115
2	20.09838	0.152				-0.045
3	23.668205	0.153				-0.777
2	19.747412	0.153				0.076
2	21.963945	0.153				-0.097
1	24.3587	0.15312	0.008		0.733	0.054
1	20.8133	0.1532	0.121		0.172	0.295
2	19.382	0.154	0.02		0.865	0.01
3	28.464515	0.154				0.028
3	20.678772	0.154				-0.401
3	20.053763	0.154				-0.137
2	20.88508	0.1542		88.95		0.42
6	22.6845	0.155	0.004	89.67	0.023	-0.041
5	21.587475	0.155				-0.202
2	25.193458	0.155				-0.225
3	26.67569	0.155				-0.827
3	24.451	0.1551	0.21		0.02026	-0.15
2	22.3395	0.15525	0.05628	86.2	0.626	0.2
5	39.026	0.156	0.03		0.008	-0.55
2	24.570858	0.156				0.14
2	20.684342	0.157				0.077
2	28.551383	0.158				-0.232
2	23.637604	0.158				-0.157
1	18.249	0.159	0.19	87.7	0.97	0.2
3	32.134328	0.159				-0.85
2	24.674612	0.16				-0.102
3	24.664551	0.16				0.315
3	20.8613	0.16				-0.076
2	20.485435	0.161				0.02
1	21.21663	0.1614	0.6819	87.89	3.22	
3	21.869741	0.162				
1	20.257	0.1627				
2	35.68	0.163	0.18		0.017	-0.3
4	25.751974	0.163				0.072
3	23.44281	0.163				-0.149
4	28.122397	0.163				
4	25.216751	0.163				-0.031
1	41.397	0.163506	0.314		0.298	
1	38.14	0.16353	0.04		0.058	
4	25.209715	0.164				-0.533
1	21.08721	0.164	0.112	89.07	20.1	0.1
3	22.714613	0.165				0.02
3	21.40239	0.1652			0.57	0.2
2	28.906009	0.166				0.553
1	35.23319	0.166	0.03	89.86		0.16
5	21.77596	0.1662	0	88.71		0.025
2	23.22182	0.167				-0.138
3	25.09849	0.168				-0.074
2	23.851549	0.168				-0.031
4	22.342989	0.1684	0.022	89.871	0.334	0.023
5	34.14211	0.169	0.33			-0.08
3	30.950851	0.17				-0.535
2	28.574263	0.172				-0.588
4	24.310856	0.172				-0.106
2	31.200751	0.172				-0.157
2	25.660593	0.173				-0.213
2	25.672083	0.175				-0.279
1	25.827	0.176	0.42		0.178	0.03
4	29.221289	0.176				-0.165
2	27.86	0.1768				
2	28.125	0.177	0.14		0.428	0.25
2	34.989262	0.177				-0.163
1	31.6372	0.1779				
3	32.03	0.178	0.05		0.40902	
3	27.50868	0.178	0	89.34		0.02
2	22.824669	0.178				-0.094
3	25.563222	0.178				-0.039
2	25.745718	0.178				-0.026
3	29.022358	0.179				-0.338
2	25.762294	0.179				-0.051
3	29.8454	0.1795	0.267	89.3	0.03083	0.04
3	28.081912	0.18				0.15
2	25.934138	0.18				-0.114
2	25.262887	0.18				-0.151
3	29.33434	0.18	0.042	90.179	0.036	0.18
2	26.695074	0.181				-0.199
2	27.082511	0.181				-0.167
5	27.434389	0.181				-0.131
1	28.67992	0.1814				-0.07
4	30.133001	0.182				-0.156
4	27.666313	0.182				-0.139
